channel_order,channel_name,program_order,program_title,duration_raw,release_year,rating,genres_raw,season_number,episode_number,episode_title,synopsis
1,ABC,1,Local Programs,53 min,,TV-14,,,,,Local programming information.
1,ABC,2,Local Programs,53 min,,TV-14,,,,,Local programming information.
2,CBS,2,Local Programs,25 min,,TV-14,,,,,Local programming information.
2,CBS,3,Local Programs,25 min,,TV-14,,,,,Local programming information.
4,NBC,2,Late Night with Seth Meyers,1 hr 1 min,2026,TV-14,Comedy / Talk-Show,13,119,Season 13 Episode 119,Tracee Ellis Ross (Every Brilliant Thing; Solo Traveling with Tracee Ellis Ross) and Luke Evans (The Rocky Horror Show.)
4,NBC,3,NBC Nightly News with Tom Llamas,35 min,2025,,,,,,Anchors and correspondents cover developing domestic and international news stories and political events along with investigative pieces and featured segments that spotlight Americans who have...
4,NBC,4,Top Story with Tom Llamas,47 min,2021,,,,,,"Anchor Tom Llamas offers an in-depth look at breaking news and major events in real time along with impactful interviews about social issues, race, finance and more from those affected most by..."
5,PBS,2,NOVA,1 hr,2015,,Documentary,42,11,Chasing Pluto,"Cameras follow the scientists who work with the New Horizons space probe as it approaches the edge of the solar system after travelling 3 billion miles in nine years, with an exclusive look at..."
5,PBS,3,Bugs That Rule the World,1 hr,2025,,,,,,"Scientists and other experts discuss bees, moths, butterflies and other essential pollinators to reveal how these creatures make a big impact on the planet despite their rather delicate..."
7,MYNET,1,Local Programs,6 hrs,,TV-14,,,,,Local programming information.
8,ION-E,2,Law & Order: Special Victims Unit,1 hr,2020,TV-14,Crime / Mystery / Thriller / Drama,22,1,Guardians and Gladiators,"The team tries to solve an assault in Central Park, but their own blind spots and a community that lacks trust in the police hinders their efforts."
8,ION-E,3,Law & Order: Special Victims Unit,1 hr,2020,TV-14,Crime / Mystery / Thriller / Drama,22,2,Ballad of Dwight and Irena,Rollins and Kat tend to a dangerous domestic violence call; Fin provides his deposition in the lawsuit against him.
9,TELMUN,2,Caso cerrado,30 min,2024,TV-14,,,,,María y Pedro tienen un hijo con condiciones especiales. Pero Pedro tiene una contradicción emocional que lo ha lleva inconcientemente a maltratar al chico.
9,TELMUN,3,En casa con Telemundo,1 hr,2026,,,,,,"Una entretenida mezcla de las noticias del entretenimiento, exclusivas con estrellas de la música, el cine y la televisión, presentaciones en vivo, y el estilo de vida de los famosos."
10,UNI-E,2,Mañana es para siempre,1 hr,2008,TV-14,Drama / Romance,,,,"Rebeca entra a la empresa de la familia Elizalde para destruirla y casarse con el dueño, pero antes tendrá que matar a la esposa de éste y sólo Soledad sabe lo que está pasando, pero debe..."
10,UNI-E,3,Como dice el dicho,1 hr,2011,TV-14,Comedy / Drama,,,,"Recreación de múltiples historias basadas en refrán popular en las que intervienen, Don Tomás, un hombre bonachón de más de 60 años, que es el dueño del Café Del Dicho al Hecho, y su nieta..."
11,BBCNW,2,Business Today,25 min,,,,,,,"A comprehensive first look at the latest news from the business world is provided by a team of news anchors, along with the latest analyses and predictions that affect the British business..."
11,BBCNW,3,Talking Movies,5 min,,TV-PG,Documentary,,,,"Host Tom Brook takes an in-depth look at recent developments in the world of cinema, meeting with the best in the business, offering behind-the-scenes reports, and showcasing highlights from..."
11,BBCNW,4,BBC News,30 min,2025,,,,,,The latest news from the BBC.
